"","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3"
"O08709|PRDX6_MOUSE",19.5121066449804,19.4996617866281,19.3506101172431,18.8210329533411,18.8227086162852,19.2742232987502,19.32095819404,19.5067770996947,20.4475333724547,18.7988808172296,19.360002364919,19.7815085990402
"O08715|AKAP1_MOUSE",16.2096373462547,16.4164530060937,14.9003783915298,17.4951129290098,16.7158763491384,16.0217200154527,17.6701244754078,17.5580672910166,17.1572541583718,16.6919847295663,18.3861207356999,17.8151743721199
"O08739|AMPD3_MOUSE",18.6921835274778,19.3208679621391,19.054754802807,18.0988850784021,18.3358699490867,16.7458883071964,19.2510637305014,17.8612563860448,17.0008041593348,18.5491399910184,19.0449340896818,18.6448213735913
"O08749|DLDH_MOUSE",21.7285768973156,20.5867527607738,22.1319773446679,22.4910969694968,21.7481336671456,19.1011851216557,22.9649341262269,21.6722744749488,22.2018265885051,21.2930795222498,22.4752589436366,22.1794184788737
"O08756|HCD2_MOUSE",19.8796008231385,19.9879984563599,20.1291960913463,20.172725980038,19.8772295448716,19.9698483920128,20.1020821984847,20.2002082433803,19.8769762588615,19.5253757079933,20.1776959346217,19.7433248224721
"O08759|UBE3A_MOUSE",16.9094898704615,17.2334022900359,17.0321851281827,16.8041331644472,17.7922973079122,13.9215698485436,14.4724889137989,14.3627969013191,17.3599029208645,14.661618847065,17.6885716691803,17.0676439052281
"O08788|DCTN1_MOUSE",19.2836682977613,18.2305690562636,18.4266054672927,18.4211622244648,17.4196096630497,17.4451770299825,18.094785639432,18.4056843831081,17.9180695040943,18.5561224435367,18.9182726668293,17.7585442609044
"O08791|COE3_MOUSE",16.8649248626422,17.971282241636,15.4306559716992,15.9633869693546,15.0457679786935,17.5849076119873,14.4456414903749,17.8894475179095,18.049688193832,18.0227963745856,18.5365075270081,18.2368807560983
"O08795|GLU2B_MOUSE",18.4623437022659,18.0234139077835,18.2111205466585,17.5688644532219,18.0593772067232,18.4669308005715,17.5417730226371,17.4365967940053,17.1932922204414,16.4533759445896,17.0838134728167,17.5090032176785
"O08807|PRDX4_MOUSE",13.2986339749203,10.6140549913307,11.8425287030435,13.4826352968315,12.8744118009013,11.7545145490192,12.5548685625535,9.59542277145921,10.9211367818114,9.81471176782866,12.815158908062,10.5499426571122
"O08832|GALT4_MOUSE",16.7658933968894,15.5770444102446,15.4469984485916,15.5292353183328,13.5629728898786,14.273656188283,13.7253135299648,14.6468521355543,13.7766498522288,14.0122885213244,14.8658588053724,13.5276348532848
"O08917|FLOT1_MOUSE",15.212526023062,14.814369770865,14.32268129782,13.5378624210781,13.841984024457,13.5011560969735,15.1916480045811,14.089526453992,15.4838834649732,13.3884239280695,14.2145722988504,13.5717013378153
"O08997|ATOX1_MOUSE",16.3231455594262,18.1816912446156,15.5721061055107,17.6368574566529,17.9506264034909,16.9369108337373,17.6737430114825,17.8906861376013,18.0138539019757,16.3549213557193,18.0452877354019,18.0267944410922
"O09044|SNP23_MOUSE",17.1353595905533,17.9496418490552,17.6082685406856,17.0623202439807,17.2531597959888,14.3686696694293,17.3001601083059,15.0793147704661,12.0980857223127,13.8910103259272,17.7590628331531,17.6158068452857
"O09061|PSB1_MOUSE",16.3909171702772,16.8713172066167,17.0133924683042,15.0400683503699,16.4215263167414,13.758048489779,16.2235605654869,15.6582818693312,16.4120314149556,15.7461419477579,16.1404500389923,15.9603263571232
"O09111|NDUBB_MOUSE",20.1430204217803,21.147370900067,20.5330213044133,21.2120219301871,20.1736135827428,18.3523703959372,22.699113519418,20.9404382760119,21.1875209237326,20.5617995648098,20.252354059053,20.6183191793227
"O09112|DUS8_MOUSE",NA,NA,NA,12.6874380180651,11.9631018303333,9.29391744295063,10.9333445715676,13.5653062076473,10.8651715168837,15.6102270127014,10.279562393614,10.0178133792536
"O09117|SYPL1_MOUSE",16.8996945429792,15.7718469007858,16.1825233536883,14.3179830495536,16.4884088117076,15.6159057478005,16.2005704909712,16.3670386022115,15.1742606930209,16.7766151313845,15.1150214127781,16.7055864925152
"O09131|GSTO1_MOUSE",16.7650304909054,16.4202800922505,15.9531881531989,17.3136229158224,17.8183100488282,15.3374225978567,16.3742167832709,16.7442049910357,17.7091627212434,16.7833299056972,17.3882747302794,16.9078118275735
"O09164|SODE_MOUSE",15.412312714837,14.2977201161874,16.1092101538323,17.306571734686,15.579987536114,19.3305847463015,15.8414726039538,16.1157920817045,15.8524685505447,14.6605410911228,16.5318548585359,17.0777467239702
"O09165|CASQ1_MOUSE",19.1303499761217,18.6290034669449,20.0602458899577,22.1670347871486,17.8482152544918,24.4266024730989,19.6529471789487,18.9015015494065,18.9203032456358,20.6199236971988,19.6141780010109,19.0024686582359
"O09167|RL21_MOUSE",15.044053385871,16.2473640360473,16.2327785210192,16.1005720034957,13.9964297941138,14.1343613397216,15.986283019107,16.5840089890471,15.6080353626836,16.3947696432894,13.8208700217559,15.8111978080138
"O09174|AMACR_MOUSE",14.5322453566447,15.9106101757824,16.296792202026,16.2616367713163,17.2210806844883,14.3363263511473,17.2644064041081,15.3160342722323,14.6153515764495,16.317485750105,16.8134682727967,17.7713243919741
"O35071|KIF1C_MOUSE",15.3960725688277,15.0741102631312,14.5676090218,15.5963132955973,16.5199160058573,13.4309235068777,14.4840355146185,14.4216853121908,14.0470173764697,14.5253796769607,15.4641193175849,15.0759158446047
"O35083|PLCA_MOUSE",14.9496309070528,15.1741023485935,15.0719477323624,14.6896788533797,14.4527255972651,14.9391342718884,12.7625113106866,14.856004000113,14.9798119879677,11.3595068948586,15.5096177266576,15.4664751363115
"O35114|SCRB2_MOUSE",16.4766031928694,16.2573451151847,16.5619691199778,14.2440992523459,16.0393894684023,16.4813552995064,16.6086360090938,16.6113794604408,16.6821583362278,16.6193413610423,16.4281548580369,15.4517663781475
"O35129|PHB2_MOUSE",20.8992146262127,20.2985994990955,21.6415458879735,22.6119255608663,22.1810976480074,19.0456623559471,21.2095748527768,20.8143027745708,21.2211693520859,21.0290789131259,21.5636370275397,21.0833707679251
"O35206|COFA1_MOUSE",17.1082240682268,16.5412265670302,17.268097211639,17.2200991224102,17.1322790109289,17.0215157297924,17.5163487788197,17.5722752236574,16.6713584792703,16.9596892282517,16.7564296641844,16.7605794909403
"O35215|DOPD_MOUSE",20.645308544035,19.7844329236394,18.8042823971262,21.7265549542317,20.7539217524744,21.3433619504915,19.7141215642811,19.6395257505485,20.0373040320883,20.1334193202529,21.2738297397281,19.7045468869553
"O35218|CPSF2_MOUSE",14.8004310388299,13.6806379693131,15.3530227351523,14.5030589783347,15.1305848400748,14.0392728484482,15.4096703649392,13.9947108839187,12.0948314058052,15.4509428357811,11.5204502417248,14.2664046648733
"O35286|DHX15_MOUSE",13.6055715355505,14.6198205429033,12.8484897940314,13.4947562270715,15.2458309092296,13.2505822206955,15.0832241737922,14.3714187843673,11.7384526771895,15.3684269310243,14.9881384697069,15.3004633896017
"O35295|PURB_MOUSE",17.3674919657193,17.5417606982838,17.0874850102507,17.2406568184249,17.1451001558254,16.5342709613793,16.6869823937307,16.8169295161785,16.939577033559,16.5764937946706,16.1724872811132,17.4198816074053
